"text","links","permalink","username","date","photo0","photo1","photo2","photo3"
"guter Thread über oft gehörte Sätze zu #Mundschutz #MundNasenSchutz #Mundschutzpflicht #Maskenpflicht #Mundschutzgebot #Maskengebot #MaskeAuf #MaskeTragen #MaskeZeigen #MaskeNähen #SocialDistancing #SmartDistancing #Covid19 #Covid19de #coronavirus #CoronaVirusDE #Masks4All https://twitter.com/f_karig/status/1244997829921247233","https://twitter.com/f_karig/status/1244997829921247233","https://twitter.com/mundschuetzer/status/1245067011031474179","mundschuetzer","2020-03-31 19:14:42+00:00","""https://pbs.twimg.com/media/EUdc6hiXYAYReXl.png""","","",""
"Nicht's mehr ohne Maske! #Maskenpflicht #maskeauf #Masks4All ","","https://twitter.com/Karsten95710706/status/1244952367814017024","Karsten95710706","2020-03-31 11:39:09+00:00","""https://pbs.twimg.com/media/EUb1j9cWsAE4eYG.jpg""","","",""
"Es gibt in Deutschland eine riesige #Nähcommity die bereits #Masken näht. Durch eine offizielle Aussage z.B. von @jensspahn, dass auch #DIY #Schutzmasken EIN TEIL der Coronastrategie sein könnten, würden noch viel mehr Hobbynäher helfen! #maskeauf #maskezeigen #masks4all @DIYeule","","https://twitter.com/maskezeigen/status/1244864771398254592","maskezeigen","2020-03-31 05:51:04+00:00","""https://pbs.twimg.com/media/EUY1qfrXQAIDYc-.jpg""","","",""
"#Masks4All RT @zynaesthesie: Wenn Marketingfachkräfte wirklich ihr Geld wert sind, warum werden wir noch noch nicht von Mundschutz mit Werbeaufdruck als Giveaway beschmissen?","","https://twitter.com/icho40/status/1244843087966470150","icho40","2020-03-31 04:24:54+00:00","""https://pbs.twimg.com/media/EUaPCBoU0AAgLAl.jpg""","","",""
"Diese Abbildung zeigt den Nutzen von Nasen-Mund-Schutz sehr anschaulich #Masks4All #Covid_19 source: https://medium.com/@Cancerwarrior/covid-19-why-we-should-all-wear-masks-there-is-new-scientific-rationale-280e08ceee71","https://medium.com/@Cancerwarrior/covid-19-why-we-should-all-wear-masks-there-is-new-scientific-rationale-280e08ceee71","https://twitter.com/docgara/status/1244736867632910336","docgara","2020-03-30 21:22:49+00:00","""https://pbs.twimg.com/media/EUYxk1CXkAUO8LE.jpg""","","",""
"Nächste Charge ist fertig. #Masks4All ","","https://twitter.com/Accral/status/1244719570599972867","Accral","2020-03-30 20:14:06+00:00","""https://pbs.twimg.com/media/EUYh2ANWkAMaTbd.jpg""","""https://pbs.twimg.com/media/EUYh2KlWsAEnqax.jpg""","",""
"Unterhosen / Boxershorts (im Idealfall saubere!) tun es auch! #Maskenpflicht #Masks4All ","","https://twitter.com/jospang/status/1244716221758672896","jospang","2020-03-30 20:00:47+00:00","""https://pbs.twimg.com/media/EUYey6EWAAYYtlD.jpg""","","",""
"@RegSprecher @jensspahn @Markus_Soeder @MelanieHuml @BMG_Bund ""There is no scientific support for the statement that masks worn by non-professionals are 'not effective'."" Bitte halten Sie sich an die wissenschaftlichen Fakten und beschließen als (einfache) Maßnahme #Masks4All","","https://twitter.com/DaniWagner33/status/1244714711968612353","DaniWagner33","2020-03-30 19:54:47+00:00","""https://pbs.twimg.com/media/EUUO7ZfWsAITREA.jpg""","""https://pbs.twimg.com/media/EUUO9XHWoAE3OSX.jpg""","""https://pbs.twimg.com/media/EUUPIV6XkAsSdxN.jpg""",""
"@ArminLaschet ist für die Leitung eines ganzen Bundeslandes zuständig und ist offenbar zu doof einen MNS (Mund NASEN Schutz) korrekt zu tragen. Gratulation! #covid19 #maskeauf #Masks4All #COVID19deutschland","","https://twitter.com/DaLm28708196/status/1244598597796147200","DaLm28708196","2020-03-30 12:13:23+00:00","""https://pbs.twimg.com/media/EUWzWZAXYAAZMKr.jpg""","","",""
"Tut mir einen Gefallen, tragt auch Masken. #wewearmask #Masks4All #maskeauf","","https://twitter.com/Jaycee74/status/1244593413833531400","Jaycee74","2020-03-30 11:52:47+00:00","""https://pbs.twimg.com/media/EUWvGuPXYAA-vM9.jpg""","","",""
