"text","links","permalink","username","date","photo0","photo1","photo2","photo3"
"Katie got her order of elastic in today! I have a #mask! @sbadayton ⁦@univofdayton⁩ flyers, these are easy to make. She plans to make more to donate. #Masks4All what others see as scrap, becomes that which helps us all. ","","https://twitter.com/profjanney/status/1246537742361780227","profjanney","2020-04-04 20:38:51+00:00","https://pbs.twimg.com/media/EUyXdxtWAAYyt5q.jpg","","",""
"There are a lot of masks with CE or FDA certification in China in stock. If any of your friends or hospitals in your country need, I can help you buy some from China. #CoronavirusPandemic #Masks4All #MasksSaveLives #FFP3 #FFP2 #PPESupplies #PPEs","","https://twitter.com/Vincentzjx/status/1246537402967089152","Vincentzjx","2020-04-04 20:37:31+00:00","https://pbs.twimg.com/media/EUyWepcXsAMkOUC.jpg","https://pbs.twimg.com/media/EUyWfaRWoAAFbd1.jpg","https://pbs.twimg.com/media/EUyWgqwXYAEBLEm.jpg","https://pbs.twimg.com/media/EUyWhg8WAAEaQAT.jpg"
"#Masks4All #COVID19 Diapers are a good alternative too.","","https://twitter.com/DesmondBoko/status/1246537402694451201","DesmondBoko","2020-04-04 20:37:31+00:00","https://pbs.twimg.com/media/EUyXJtlWoAMv2Vt.jpg","","",""
"#mascherinepertutti #Masks4All #maskchallenge I PROTECT YOU, YOU PROTECT ME !! ","","https://twitter.com/payal_agg/status/1246537170271244288","payal_agg","2020-04-04 20:36:35+00:00","https://pbs.twimg.com/media/EUyW8LmWsAMnx4j.jpg","","",""
"This will be me on Monday #COVID2019 #Masks4All ","","https://twitter.com/JuicyRamons/status/1246537062918107136","JuicyRamons","2020-04-04 20:36:09+00:00","https://pbs.twimg.com/media/EUyW2jxX0AEjuHw.jpg","","",""
"I mean it seems legit #SaturdayMood #coronavirus #Masks4All #CoronaMasks","","https://twitter.com/ChadWst/status/1246536892327309312","ChadWst","2020-04-04 20:35:29+00:00","https://pbs.twimg.com/media/EUyWsdtWkAILMUo.jpg","","",""
"Hunkered Down Day 24 - What a strange time we live in, when bits of coated wire are an exciting find. #Masks4All ","","https://twitter.com/mt_lass/status/1246536855719268353","mt_lass","2020-04-04 20:35:20+00:00","https://pbs.twimg.com/media/EUyWqA-U4AAP58g.jpg","","",""
"Is your plan for everyone to stay home for the next 18 months until a vaccine is rolled out? In the countries that have been successful in stopping the virus, everyone wears masks, and they have begun to regain some normalcy in their lives. #Masks4All","","https://twitter.com/MasksAsap/status/1246536680057778183","MasksAsap","2020-04-04 20:34:38+00:00","https://pbs.twimg.com/media/EUxxdmIWoAEHec5.jpg","https://pbs.twimg.com/media/EUxyODRXsAQU0Nm.png","https://pbs.twimg.com/media/EUxyODTXQAAZfOu.jpg",""
"Made a #mask today I'm working on the second one. Based off this: https://www.nytimes.com/article/how-to-make-face-mask-coronavirus.html?utm_source=pocket-newtab But you can also follow this https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html #COVID19Pandemic #facemask #Masks4All ","https://www.nytimes.com/article/how-to-make-face-mask-coronavirus.html?utm_source=pocket-newtab,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html","https://twitter.com/buzzbuzzabee/status/1246535965390274564","buzzbuzzabee","2020-04-04 20:31:48+00:00","https://pbs.twimg.com/media/EUyV2oZXQAAq1VP.jpg","","",""
"He is a joke #COVID2019 #coronavirus #QuarantineActivities #Masks4All #KushnerIsAnIdiot #TrumpOwnsEveryDeath #CCPVirus #Masks #BREAKING #JaredKushnerForPrison","","https://twitter.com/margie_hathaway/status/1246535807336239104","margie_hathaway","2020-04-04 20:31:10+00:00","https://pbs.twimg.com/media/EUyVs40UwAAtDRW.jpg","","",""
