"text","links","permalink","username","date","photo0","photo1"
"Le CHU de Grenoble a aussi publié un patron. J'ai retrouvé une reproduction sur https://www.cnews.fr/france/2020-03-26/le-chu-de-grenoble-montre-son-personnel-comment-fabriquer-ses-propres-masques #Masks4All #masquespourtous","https://www.cnews.fr/france/2020-03-26/le-chu-de-grenoble-montre-son-personnel-comment-fabriquer-ses-propres-masques","https://twitter.com/maitwitting/status/1245132600290807810","maitwitting","2020-03-31 23:35:20+00:00","""https://pbs.twimg.com/media/EUdIG1wWkAAc74D.jpg""",""
"Quarantine Cousin (2020) #StayHome #MasksForAll #masks4all #quarantinelife","","https://twitter.com/JulieBurna/status/1245116186188275712","JulieBurna","2020-03-31 22:30:06+00:00","""https://pbs.twimg.com/media/EUeKjxsXgAQFKYu.jpg""",""
"#Masks4All #Gabon #Masks4Mapane Je te protège et tu me protèges. @PresidentABO @PresidentABO @SanteGOUVGA","","https://twitter.com/tsonilam/status/1245112792178442240","tsonilam","2020-03-31 22:16:37+00:00","""https://pbs.twimg.com/media/EUeHd-lXYAAggHB.jpg""",""
"L'engouement pour le mouvement #Masks4All des derniers jours est probablement due a la vidéo de la République Tchèque avec la participation de son ministre de la santé (2 371 484 vues). Était-ce pour rassurer sa population ou une propagande pour les convaincre que tout va bien ","","https://twitter.com/Richardrmor/status/1245106475078488069","Richardrmor","2020-03-31 21:51:31+00:00","""https://pbs.twimg.com/media/EUZkKUiWoAIqp8a.jpg""",""
"DITES AUX GENS DE SE FABRIQUER DES MASQUES #Masks4All c'est là dessus que l'on vous attaquera en justice plus tard car vous savez !","","https://twitter.com/ECepheide/status/1244955386026823680","ECepheide","2020-03-31 11:51:08+00:00","""https://pbs.twimg.com/media/EUbJBVKXQAA24D1.jpg""",""
"Vous devriez militer pour #Masks4All ","","https://twitter.com/ECepheide/status/1244886616772149248","ECepheide","2020-03-31 07:17:52+00:00","""https://pbs.twimg.com/media/EUYtaEgWkAUdya5.jpg""","""https://pbs.twimg.com/media/EUYtaEbXkAIrfW9.jpg"""
"@amirkhadir on a besoin de vous pour promouvoir le mouvement de #masquespourtous #Masks4All ; le concept est simple: il s'agit en fait de masquer l'ensemble de la population avec des masques faits maison...le but étant d'empecher aux asymptomatiques de contaminer les autres ","","https://twitter.com/LHerlemont/status/1244779908934631425","LHerlemont","2020-03-31 00:13:51+00:00","""https://pbs.twimg.com/media/EUZYtEbWkAIhjtu.jpg""",""
"C'est tout pour ce thread informatif. J'espère que vous aurez appris quelque chose en plus. C'est à nous de lancer le mouvement #masquetoi comme d'autres l'ont fait avec #masks4all Le changement vient du peuple, prenons en main notre avenir, soyons solidaires et protégeons nous!","","https://twitter.com/masquepourtous/status/1244767761546559490","masquepourtous","2020-03-30 23:25:35+00:00","""https://pbs.twimg.com/media/EUZNnt6WAAIyNCb.jpg""",""
"Je vais traduire (approximativement) l'ensemble de ce thread explicatif sur le port du masque afin qu'il puisse être compris par un plus grand nombre. Thank you @jeremyphoward #Masks4All #masquetoi","https://twitter.com/jeremyphoward/status/1242894378441506816","https://twitter.com/masquepourtous/status/1244767618520748032","masquepourtous","2020-03-30 23:25:01+00:00","""https://pbs.twimg.com/media/EUZNj3bWkAAcjTB.jpg""",""
"#confinement #Belgium #CoronaCrisis #coronavirus #humour #Covid_19 #Masks4All @Decathlon #Raoult La #belgique résumée en un dessin ","","https://twitter.com/Valbon80/status/1244609468396179458","Valbon80","2020-03-30 12:56:35+00:00","""https://pbs.twimg.com/media/EUW9tlZXYAEcMv0.jpg""",""
" Messages d’encouragement aux préposés à la collecte des bacs d’ordures ménagères à @Angers #polfr #covid19fr #Masks4All #polqc","","https://twitter.com/GogluDesPres/status/1244595052518801408","GogluDesPres","2020-03-30 11:59:18+00:00","""https://pbs.twimg.com/media/EUWwmbkX0AAF6r7.jpg""","""https://pbs.twimg.com/media/EUWwmbsXQAArn8B.jpg"""
"ou on peut faire a home-made masque! https://youtu.be/HhNo_IOPOtU #Masks4All","https://youtu.be/HhNo_IOPOtU","https://twitter.com/TurkeyMedia/status/1244567656138780672","TurkeyMedia","2020-03-30 10:10:26+00:00","""https://pbs.twimg.com/media/EUWPRaMWkAI-QvO.jpg""",""
"On peut encore faire qqchose, portont des masques!!! #Masks4All https://youtu.be/HhNo_IOPOtU","https://youtu.be/HhNo_IOPOtU","https://twitter.com/TurkeyMedia/status/1244562631077376000","TurkeyMedia","2020-03-30 09:50:28+00:00","""https://pbs.twimg.com/media/EUTUrpYWsAAz9-e.jpg""",""
"Bah alors ? Grand fou ! On sort sans son masque ?!? #masquespourtous #Masks4All #Covid_19fr #sors_pas_sans_ton_masque #Gestesbarrieres https://twitter.com/E_Dorsay/status/1244529850934865926","https://twitter.com/E_Dorsay/status/1244529850934865926","https://twitter.com/LIVE_LE_RETOUR/status/1244539769104760832","LIVE_LE_RETOUR","2020-03-30 08:19:38+00:00","""https://pbs.twimg.com/media/EUV9w6wXYAEb7sA.jpg""",""
"#Quebec #France #Masks4all #masquespourtous #canada #Covid19 #coronavirus Je porte ma masque por toi, et tu portes ta masque por moi! Les Docteurs nous protègent, alors ils nous faux qu'ons les protègent! Je te protège, alors protège moi aussi!","","https://twitter.com/questionmark_mr/status/1244500593399529474","questionmark_mr","2020-03-30 05:43:57+00:00","""https://pbs.twimg.com/media/EUVZzu4WsAEuR2M.jpg""",""
"Le mieux c’est de #RestezChezVous si vous devez sortir, sortez couvert #Masks4All pour vous et aussi pour les autres ","","https://twitter.com/68brindilles/status/1244359997808664578","68brindilles","2020-03-29 20:25:17+00:00","""https://pbs.twimg.com/media/EUTa0cGXkAEdvSi.jpg""",""
"Kakashi était dans le secret depuis tout ce temps ! #Covid_19 #protection #Masks4All #Manga","","https://twitter.com/k_attak/status/1244339001387073538","k_attak","2020-03-29 19:01:51+00:00","""https://pbs.twimg.com/media/EUTHuhPXgAgU9MJ.jpg""",""
"En Belgique la thèse est que seul un malade devrait porter le masque pour protéger son entourage. Et qu'un masque fait maison ne protège pas ""bien"". Mais 1. il y a plein de malades qui s'ignorent 2. l'objectif prioritaire est de réduire la contagion #masks4all","","https://twitter.com/matthiou/status/1244207987868274688","matthiou","2020-03-29 10:21:15+00:00","""https://pbs.twimg.com/media/EURKxQMXsAANay2.jpg""",""
"Pendant ce tps là , Taiwan (23 M d'habitants) produit 10 M de masques par jour et la Rép.Tchèque a rendu le port du masque (confection maison) obligatoire!! Regardez les courbes de ces deux pays, c'est assez édifiant!! #Masks4All #masquespourtous #COVID19","https://www.youtube.com/watch?v=BoDwXwZXsDI&feature=youtu.be","https://twitter.com/LHerlemont/status/1243992672001540098","LHerlemont","2020-03-28 20:05:39+00:00","""https://pbs.twimg.com/media/EUN5Z2pXQAInLOa.jpg""",""
"C'est bien de dessiner des arcs-en ciel... MAIS c'est bien plus EFFICACE de mettre des MASQUES à 100% de la population, même si ils sont home-made !! #cavabienaller si tout le monde fait son masque! https://www.youtube.com/watch?v=BoDwXwZXsDI&amp;feature=youtu.be #masks4all #cavabienaller @Val_Plante @MTL_Ville","https://www.youtube.com/watch?v=BoDwXwZXsDI&feature=youtu.be","https://twitter.com/LHerlemont/status/1243989412343623682","LHerlemont","2020-03-28 19:52:42+00:00","""https://pbs.twimg.com/media/EUOImwuWoAADLB_.jpg""",""
"@EmmanuelMacron cette dame semble avoir mieux compris que vous le chemin à suivre. Admettez vos torts et exigez #Masks4All , fait maison c'est mieux que rien !","","https://twitter.com/ECepheide/status/1243988722070282242","ECepheide","2020-03-28 19:49:58+00:00","""https://pbs.twimg.com/media/EULq5F8X0AEt8P-.jpg""",""
"Les masques ne sont pas juste utiles pour protéger ceux qui les portent, ils sont avant tout utiles pour protéger les autres! #masquespourtous Les asymptomatiques contagieux (entre 20 et 50% des cas) sont le vrai problème de l'épidémie!! Reveillez-vous les gars #Masks4All ","","https://twitter.com/LHerlemont/status/1243977201856458752","LHerlemont","2020-03-28 19:04:11+00:00","""https://pbs.twimg.com/media/EUN5SDbWkAEZGmr.jpg""","""https://pbs.twimg.com/media/EUN6qymXQAATSyn.jpg"""
"Un bon moyen aussi de s’assurer que les gens gardent la distance quand tu vas au marché #masks4all ","","https://twitter.com/groscalin/status/1243912019855790081","groscalin","2020-03-28 14:45:10+00:00","""https://pbs.twimg.com/media/EUNDYqfXgAEs50z.jpg""",""
"Je pose ça là au cas où...#masquespourtous #Masks4All ","https://twitter.com/jeremyphoward/status/1242894378441506816","https://twitter.com/LHerlemont/status/1243793128609415168","LHerlemont","2020-03-28 06:52:45+00:00","""https://pbs.twimg.com/media/ETj0U7lXgAM9SHR.png""",""
"excellent! #masks4all #makeamaskwearamask","","https://twitter.com/faceshield11/status/1243544213104574472","faceshield11","2020-03-27 14:23:38+00:00","""https://pbs.twimg.com/media/ET9y3b5XgAEDCaD.png""",""
"Vu le récit national concernant le port du masque, cela ne va pas etre facile mais IL EST ENCORE TEMPS de vous rattraper!!!!! @olivierveran @EmmanuelMacron @SibethNdiaye @MinSoliSante @alertesanitaire @dr_l_alexandre #masks4all #masquepourtous #COVID19france","","https://twitter.com/LHerlemont/status/1243252568165359622","LHerlemont","2020-03-26 19:04:45+00:00","""https://pbs.twimg.com/media/EUDoXtSWAAIZSpY.png""",""
"J'exhorte tout les decideurs des pays touchés par le #covid19 de rendre le port de #masquespourtous obligatoire dans les plus BREFS délais. Nous devons lancer des campagnes nationales de CONFECTION DE MASQUES à DOMICILE comme c'est le cas en République #Czech . #masks4all NOW ","","https://twitter.com/LHerlemont/status/1243249028177055745","LHerlemont","2020-03-26 18:50:41+00:00","""https://pbs.twimg.com/media/EUDoXtSWAAIZSpY.png""",""
"Crisis management! #cigarettes #smokers #pandemic #savemankind #ThursdayThoughts #ThursdayMotivation #CoronavirusLockdown #thursdaywisdom #Masks4All #savetheplanet #Amen","","https://twitter.com/Bappa2040/status/1243097057851617280","Bappa2040","2020-03-26 08:46:48+00:00","""https://pbs.twimg.com/media/EUBeLrkUcAAy0L1.jpg""",""
